Designator,Mid X,Mid Y,Rotation,Layer
C1,179.49,-23.16,0.0,top
C10,185.49,-24.16,270.0,top
C11,189.49,-24.16,270.0,top
C12,186.49,-18.16,270.0,top
C13,145.3025,-20.96,270.0,top
C14,192.49,-18.16,270.0,top
C15,188.49,-18.16,270.0,top
C16,190.49,-18.16,270.0,top
C17,154.39,-6.16,0.0,top
C18,153.5,-23.5,270.0,top
C19,194.49,-18.16,270.0,top
C2,149.3025,-20.96,270.0,top
C20,153.3025,-21.0,270.0,top
C21,151.3025,-20.96,270.0,top
C22,157.49,-14.16,90.0,top
C24,158.0,-21.275,90.0,top
C25,161.49,-14.16,180.0,bottom
C3,155.49,-21.16,0.0,top
C4,155.49,-15.16,270.0,top
C5,169.3025,-20.96,270.0,top
C8,187.49,-24.16,270.0,top
C9,160.3025,-21.96,270.0,top
J1,180.49,-5.0,180.0,top
J4,207.49,-4.16,180.0,top
R1,192.49,-15.16,270.0,top
R10,191.49,-14.16,270.0,top
R11,173.49,-6.16,0.0,top
R12,172.99,-4.66,90.0,top
R13,348.455,-17.35,180.0,bottom
R14,218.49,-17.16,180.0,bottom
R15,156.49,-12.16,270.0,bottom
R16,160.49,-11.16,180.0,bottom
R19,156.49,-10.16,0.0,top
R2,322.455,-14.35,180.0,bottom
R3,166.0,-15.16,0.0,top
R4,198.49,-6.16,0.0,top
R5,173.49,-14.16,0.0,top
R6,291.2675,-35.15,180.0,bottom
R7,162.3025,-20.96,270.0,top
R8,192.49,-10.16,270.0,top
R9,190.49,-11.16,270.0,top
RV1,326.75,-63.25,90.0,top
SW1,195.99,-3.16,0.0,top
SW2,195.94,-9.085,0.0,top
SW3,342.25,-32.5,0.0,top
U1,165.49,-8.79,90.0,top
U10,13.9125,-31.9,0.0,top
U11,32.9625,-31.9,0.0,top
U12,52.0125,-31.9,0.0,top
U13,71.0625,-31.9,0.0,top
U14,90.1125,-31.9,0.0,top
U15,109.1625,-31.9,0.0,top
U16,128.2125,-31.9,0.0,top
U17,147.2625,-31.9,0.0,top
U18,166.3125,-31.9,0.0,top
U19,185.3625,-31.9,0.0,top
U2,180.84,-17.16,180.0,top
U20,204.4125,-31.9,0.0,top
U21,223.4625,-31.9,0.0,top
U22,242.5125,-31.9,0.0,top
U23,271.0875,-31.9,0.0,top
U24,309.1875,-31.9,0.0,top
U25,18.675,-50.95,0.0,top
U26,42.4875,-50.95,0.0,top
U27,61.5375,-50.95,0.0,top
U28,80.5875,-50.95,0.0,top
U29,99.6375,-50.95,0.0,top
U30,118.6875,-50.95,0.0,top
U31,137.7375,-50.95,0.0,top
U32,156.7875,-50.95,0.0,top
U33,175.8375,-50.95,0.0,top
U34,194.8875,-50.95,0.0,top
U35,213.9375,-50.95,0.0,top
U36,232.9875,-50.95,0.0,top
U37,252.0375,-50.95,0.0,top
U38,275.85,-50.95,0.0,top
U39,309.1875,-50.95,0.0,top
U4,170.3525,-16.71,180.0,top
U40,21.05625,-70.0,0.0,top
U41,47.25,-70.0,0.0,top
U42,66.3,-70.0,0.0,top
U43,85.35,-70.0,0.0,top
U44,104.4,-70.0,0.0,top
U45,123.45,-70.0,0.0,top
U46,142.5,-70.0,0.0,top
U47,161.55,-70.0,0.0,top
U48,180.6,-70.0,0.0,top
U49,199.65,-70.0,0.0,top
U5,116.0,-11.5,270.0,top
U50,218.7,-70.0,0.0,top
U51,237.75,-70.0,0.0,top
U52,268.70625,-70.0,0.0,top
U53,309.1875,-70.0,0.0,top
U54,25.81875,-89.05,0.0,top
U55,56.775,-89.05,0.0,top
U56,75.825,-89.05,0.0,top
U57,94.875,-89.05,0.0,top
U58,113.925,-89.05,0.0,top
U59,132.975,-89.05,0.0,top
U6,140.455,-12.35,270.0,top
U60,152.025,-89.05,0.0,top
U61,171.075,-89.05,0.0,top
U62,190.125,-89.05,0.0,top
U63,209.175,-89.05,0.0,top
U64,228.225,-89.05,0.0,top
U65,254.41875,-89.05,0.0,top
U66,280.6125,-89.05,0.0,top
U67,309.1875,-89.05,0.0,top
U68,16.29375,-108.1,0.0,top
U69,40.10625,-108.1,0.0,top
U7,353.85,-71.825,270.0,top
U70,63.91875,-108.1,0.0,top
U71,135.35625,-108.1,0.0,top
U72,204.4125,-108.1,0.0,top
U73,223.4625,-108.1,0.0,top
U74,242.5125,-108.1,0.0,top
U75,261.5625,-108.1,0.0,top
U76,280.6125,-108.1,0.0,top
U77,299.3375,-108.825,0.0,top
U78,315.0,-16.19,90.0,top
U8,324.785,-111.15,0.0,top
U9,352.5,-96.5,270.0,top
Y1,154.99,-18.5,0.0,top
